nome_arquivo,hash_origem,hash_destino,status
GNE291-001.bam,,d54fef8a2e0705438dea5c15aeb5807b,Diferente
GNE291-001.bam.bai,,3f76792f62b5d0147dcf808403d46015,Diferente
GNE291-002.bam,,5a83e71f4bc678d58e6deea857dd762e,Diferente
GNE291-002.bam.bai,,7127bf39c6e23c24daa504e8746947fe,Diferente
OQS350-001.bam,,79c2b17bbf2cf6b7b0c214bab3481755,Diferente
OQS350-001.bam.bai,,60a6ee07cc56fc02f6a62e8ad445c9dd,Diferente
OQS350-002.bam,,dbe4d91c5915ad156d3014b9894d08f4,Diferente
OQS350-002.bam.bai,,f5a26e5043d453290860c17eff6eba61,Diferente
RUC870-001.bam,,c726c905de69a24a43d7d731bbbc5c29,Diferente
RUC870-001.bam.bai,,da1fbfe0685613a6df2ab16fa78cfcd5,Diferente
RUC870-002.bam,,86f2b55a130ba1725abc7114c36d03ca,Diferente
RUC870-002.bam.bai,,bff250d2387fe2d0d46b008704e2db39,Diferente
UCH481-001.bam,,b6979eda60154f0f9a5cac57d03b2b13,Diferente
UCH481-001.bam.bai,,aed14e5a8ac18a3c3ae9c59bcb7ed19a,Diferente
UCH481-002.bam,,75b666d12e0fa181279d0863856d5c0c,Diferente
UCH481-002.bam.bai,,59fe1cfbfcc09dea565d8988d56a23f4,Diferente
YCX948-001.bam,,56e214dab163389756fda9cb2755300e,Diferente
YCX948-001.bam.bai,,ae9256d96ceb36cc218edf51141b1d6a,Diferente
YCX948-002.bam,,68cfa8524cc7921cf62dbdcae36714d3,Diferente
YCX948-002.bam.bai,,fcc03c9f8191b7774284a3fc625a89d1,Diferente
EOO979-001.bam,,3c385027e2b7fd8c126181a56369f16e,Diferente
EOO979-001.bam.bai,,c0946dc6ba59cd4b966af031d56df275,Diferente
EOO979-002.bam,,18125fc9c8a56b6f213f64d14bfea86e,Diferente
EOO979-002.bam.bai,,c5f5eb1cbd25679a899aa476b630ae19,Diferente
FRS087-001.bam,b066aa45fc23235c7fbfe5cc3bc2db5b,b066aa45fc23235c7fbfe5cc3bc2db5b,Igual
FRS087-001.bam.bai,c517d727093cfe381741a39e2d9cd91f,c517d727093cfe381741a39e2d9cd91f,Igual
FRS087-002.bam,46a5fbc8cde4ef308208ddc3e835d85b,46a5fbc8cde4ef308208ddc3e835d85b,Igual
FRS087-002.bam.bai,c06acecc137ac232c52ed6ebb51885f1,c06acecc137ac232c52ed6ebb51885f1,Igual
FXT681-001.bam,4cc249fb1b5bf2669d2a769005c0944e,4cc249fb1b5bf2669d2a769005c0944e,Igual
FXT681-001.bam.bai,efdc4d94fd95ab4a3ca46d727f67258a,efdc4d94fd95ab4a3ca46d727f67258a,Igual
FXT681-002.bam,5fc3b7ade9fd484bb3eed44db782c52b,5fc3b7ade9fd484bb3eed44db782c52b,Igual
FXT681-002.bam.bai,eb95c58d7191d54ee191c5d22e4018b3,eb95c58d7191d54ee191c5d22e4018b3,Igual
IKK308-001.bam,761f0dc4958094dbc14b3401308351d0,761f0dc4958094dbc14b3401308351d0,Igual
IKK308-001.bam.bai,77ed786e54b4b1b7f6536e8b30e96e9a,77ed786e54b4b1b7f6536e8b30e96e9a,Igual
IKK308-002.bam,dd4dad5165f5b1ad0cd277f2ac6c81d1,dd4dad5165f5b1ad0cd277f2ac6c81d1,Igual
IKK308-002.bam.bai,5f4c3cc3e23718681e00affbdf4b984c,5f4c3cc3e23718681e00affbdf4b984c,Igual
JHO023-001.bam,5b471bdb846b6c85dfa3eb60b1493848,5b471bdb846b6c85dfa3eb60b1493848,Igual
JHO023-001.bam.bai,b89110f53dd5a4a60a8c83167244165f,b89110f53dd5a4a60a8c83167244165f,Igual
JHO023-002.bam,3bc0264ce0cf8a947ebddada20de308c,3bc0264ce0cf8a947ebddada20de308c,Igual
JHO023-002.bam.bai,2961d9e73c53048d9036a95767da22c1,2961d9e73c53048d9036a95767da22c1,Igual
NZT421-001.bam,bed4d5e14e0b3a91d86a081be36e8e13,bed4d5e14e0b3a91d86a081be36e8e13,Igual
NZT421-001.bam.bai,bf972732fa54d417420d94b0088d1ed3,bf972732fa54d417420d94b0088d1ed3,Igual
NZT421-002.bam,00e835aad724662d3b1213b5509a41b7,00e835aad724662d3b1213b5509a41b7,Igual
NZT421-002.bam.bai,bc1cf599f91ba2b90532f5601c88de9d,bc1cf599f91ba2b90532f5601c88de9d,Igual
PVF414-001.bam,c821be5922569b11887fb23a45ee5c69,c821be5922569b11887fb23a45ee5c69,Igual
PVF414-001.bam.bai,69a2927d7abebbfbe06d9e3fca248864,69a2927d7abebbfbe06d9e3fca248864,Igual
PVF414-002.bam,62228701a46a97f2fe1ed130c6232d79,62228701a46a97f2fe1ed130c6232d79,Igual
PVF414-002.bam.bai,ec7305e7fd6ecd691bdaf9ed57e657fb,ec7305e7fd6ecd691bdaf9ed57e657fb,Igual
RHJ192-001.bam,bb7b68f5da7f958580cf721010e31927,bb7b68f5da7f958580cf721010e31927,Igual
RHJ192-001.bam.bai,0c5867aec638dc8bde3536a1cd51ef5a,0c5867aec638dc8bde3536a1cd51ef5a,Igual
RHJ192-002.bam,13ca3341784d7f26461ae8439f6552af,13ca3341784d7f26461ae8439f6552af,Igual
RHJ192-002.bam.bai,bfd7cbf206443ee310ca386e6b9ad5c6,bfd7cbf206443ee310ca386e6b9ad5c6,Igual
RVH021-001.bam,,3e66bd2b2df3fde9b07a3920bbb7b79f,Diferente
RVH021-001.bam.bai,,5988a3006370866ebaf7ec8dfd463571,Diferente
RVH021-002.bam,,96bf92563040aa9e37f662e61c0401dc,Diferente
SPI831-001.bam,38090a9dedd6236f636cdb60d569bf8d,38090a9dedd6236f636cdb60d569bf8d,Igual
SPI831-001.bam.bai,0e5639044e9d35435baa47eb477f4200,0e5639044e9d35435baa47eb477f4200,Igual
