Filename,Sample ID,A01,Array Barcode
a550995-4464489-072424-022_C05.ARR,,9SR37897,022
a550995-4464489-072424-022_C06.ARR,,9SR37897,022
a550995-4464489-072424-022_C07.ARR,,9SR37897,022
a550995-4464489-072424-022_C08.ARR,,9SR37897,022
a550995-4464489-072424-022_C09.ARR,,9SR37897,022
a550995-4464489-072424-022_C10.ARR,,9SR37897,022
a550995-4464489-072424-022_C11.ARR,,9SR37897,022
a550995-4464489-072424-022_C12.ARR,,9SR37897,022
a550995-4464489-072424-022_D01.ARR,,9SR37897,022
a550995-4464489-072424-022_D02.ARR,,9SR37897,022
a550995-4464489-072424-022_D03.ARR,,9SR37897,022
a550995-4464489-072424-022_D04.ARR,,9SR37897,022
a550995-4464489-072424-022_D05.ARR,,9SR37897,022
a550995-4464489-072424-022_D06.ARR,,9SR37897,022
a550995-4464489-072424-022_D07.ARR,,9SR37897,022
a550995-4464489-072424-022_D08.ARR,,9SR37897,022
a550995-4464489-072424-022_D09.ARR,,9SR37897,022
a550995-4464489-072424-022_D10.ARR,,9SR37897,022
a550995-4464489-072424-022_D11.ARR,,9SR37897,022
a550995-4464489-072424-022_D12.ARR,,9SR37897,022
a550995-4464489-072424-022_E01.ARR,,9SR37897,022
a550995-4464489-072424-022_E02.ARR,,9SR37897,022
a550995-4464489-072424-022_E03.ARR,,9SR37897,022
a550995-4464489-072424-022_E04.ARR,,9SR37897,022
a550995-4464489-072424-022_E05.ARR,,9SR37897,022
a550995-4464489-072424-022_E06.ARR,,9SR37897,022
a550995-4464489-072424-022_E07.ARR,,9SR37897,022
a550995-4464489-072424-022_E08.ARR,,9SR37897,022
a550995-4464489-072424-022_E09.ARR,,9SR37897,022
a550995-4464489-072424-022_E10.ARR,,9SR37897,022
a550995-4464489-072424-022_E11.ARR,,9SR37897,022
a550995-4464489-072424-022_E12.ARR,,-,022
a550995-4464489-072424-022_F01.ARR,,9SR37897,022
a550995-4464489-072424-022_F02.ARR,,9SR37897,022
a550995-4464489-072424-022_F03.ARR,,9SR37897,022
a550995-4464489-072424-022_F04.ARR,,9SR37897,022
a550995-4464489-072424-022_F05.ARR,,9SR37897,022
a550995-4464489-072424-022_F06.ARR,,9SR37897,022
a550995-4464489-072424-022_F07.ARR,,9SR37897,022
a550995-4464489-072424-022_F08.ARR,,9SR37897,022
a550995-4464489-072424-022_F09.ARR,,9SR37897,022
a550995-4464489-072424-022_F10.ARR,,9SR37897,022
a550995-4464489-072424-022_F11.ARR,,9SR37897,022
a550995-4464489-072424-022_F12.ARR,,9SR37897,022
a550995-4464489-072424-022_G01.ARR,,9SR37897,022
a550995-4464489-072424-022_G02.ARR,,9SR37897,022
a550995-4464489-072424-022_G03.ARR,,9SR37897,022
a550995-4464489-072424-022_G04.ARR,,9SR37897,022
a550995-4464489-072424-022_G05.ARR,,9SR37897,022
a550995-4464489-072424-022_G06.ARR,,9SR37897,022
a550995-4464489-072424-022_G07.ARR,,9SR37897,022
a550995-4464489-072424-022_G08.ARR,,9SR37897,022
a550995-4464489-072424-022_G09.ARR,,9SR37897,022
a550995-4464489-072424-022_G10.ARR,,9SR37897,022
a550995-4464489-072424-022_G11.ARR,,9SR37897,022
a550995-4464489-072424-022_G12.ARR,,9SR37897,022
a550995-4464489-072424-022_H01.ARR,,9SR37897,022
a550995-4464489-072424-022_H02.ARR,,9SR37897,022
a550995-4464489-072424-022_H03.ARR,,9SR37897,022
a550995-4464489-072424-022_H04.ARR,,9SR37897,022
a550995-4464489-072424-022_H05.ARR,,9SR37897,022
a550995-4464489-072424-022_H06.ARR,,9SR37897,022
a550995-4464489-072424-022_H07.ARR,,9SR37897,022
a550995-4464489-072424-022_H08.ARR,,9SR37897,022
a550995-4464489-072424-022_H09.ARR,,9SR37897,022
a550995-4464489-072424-022_H10.ARR,,9SR37897,022
a550995-4464489-072424-022_H11.ARR,,9SR37897,022
a550995-4464489-072424-022_H12.ARR,,9SR37897,022
a550995-4464489-072424-024_A01.ARR,,9SR37900,024
a550995-4464489-072424-024_A02.ARR,,9SR37900,024
a550995-4464489-072424-024_A03.ARR,,9SR37900,024
a550995-4464489-072424-024_A04.ARR,,9SR37900,024
a550995-4464489-072424-024_A05.ARR,,9SR37900,024
a550995-4464489-072424-024_A06.ARR,,9SR37900,024
a550995-4464489-072424-024_A07.ARR,,9SR37900,024
a550995-4464489-072424-024_A08.ARR,,9SR37900,024
a550995-4464489-072424-024_A09.ARR,,9SR37900,024
a550995-4464489-072424-024_A10.ARR,,9SR37900,024
a550995-4464489-072424-024_A11.ARR,,9SR37900,024
a550995-4464489-072424-024_A12.ARR,,-,024
a550995-4464489-072424-024_B01.ARR,,9SR37900,024
a550995-4464489-072424-024_B02.ARR,,9SR37900,024
a550995-4464489-072424-024_B03.ARR,,9SR37900,024
a550995-4464489-072424-024_B04.ARR,,9SR37900,024
a550995-4464489-072424-024_B05.ARR,,9SR37900,024
a550995-4464489-072424-024_B06.ARR,,9SR37900,024
a550995-4464489-072424-024_B07.ARR,,9SR37900,024
a550995-4464489-072424-024_B08.ARR,,9SR37900,024
a550995-4464489-072424-024_B09.ARR,,9SR37900,024
a550995-4464489-072424-024_B10.ARR,,9SR37900,024
a550995-4464489-072424-024_B11.ARR,,9SR37900,024
a550995-4464489-072424-024_B12.ARR,,9SR37900,024
a550995-4464489-072424-024_C01.ARR,,9SR37900,024
a550995-4464489-072424-024_C02.ARR,,9SR37900,024
a550995-4464489-072424-024_C03.ARR,,9SR37900,024
a550995-4464489-072424-024_C04.ARR,,9SR37900,024
a550995-4464489-072424-024_C05.ARR,,9SR37900,024
a550995-4464489-072424-024_C06.ARR,,9SR37900,024
a550995-4464489-072424-024_C07.ARR,,9SR37900,024
a550995-4464489-072424-024_C08.ARR,,9SR37900,024
a550995-4464489-072424-024_C09.ARR,,9SR37900,024
a550995-4464489-072424-024_C10.ARR,,9SR37900,024
a550995-4464489-072424-024_C11.ARR,,9SR37900,024
a550995-4464489-072424-024_C12.ARR,,9SR37900,024
a550995-4464489-072424-024_D01.ARR,,9SR37900,024
a550995-4464489-072424-024_D02.ARR,,9SR37900,024
a550995-4464489-072424-024_D03.ARR,,9SR37900,024
a550995-4464489-072424-024_D04.ARR,,9SR37900,024
a550995-4464489-072424-024_D05.ARR,,9SR37900,024
a550995-4464489-072424-024_D06.ARR,,9SR37900,024
a550995-4464489-072424-024_D07.ARR,,9SR37900,024
a550995-4464489-072424-024_D08.ARR,,9SR37900,024
a550995-4464489-072424-024_D09.ARR,,9SR37900,024
a550995-4464489-072424-024_D10.ARR,,9SR37900,024
a550995-4464489-072424-024_D11.ARR,,9SR37900,024
a550995-4464489-072424-024_D12.ARR,,9SR37900,024
a550995-4464489-072424-024_E01.ARR,,9SR37900,024
a550995-4464489-072424-024_E02.ARR,,9SR37900,024
a550995-4464489-072424-024_E03.ARR,,9SR37900,024
a550995-4464489-072424-024_E04.ARR,,9SR37900,024
a550995-4464489-072424-024_E05.ARR,,9SR37900,024
a550995-4464489-072424-024_E06.ARR,,9SR37900,024
a550995-4464489-072424-024_E07.ARR,,9SR37900,024
a550995-4464489-072424-024_E08.ARR,,9SR37900,024
a550995-4464489-072424-024_E09.ARR,,9SR37900,024
a550995-4464489-072424-024_E10.ARR,,9SR37900,024
a550995-4464489-072424-024_E11.ARR,,9SR37900,024
a550995-4464489-072424-024_E12.ARR,,-,024
a550995-4464489-072424-024_F01.ARR,,9SR37900,024
a550995-4464489-072424-024_F02.ARR,,9SR37900,024
a550995-4464489-072424-024_F03.ARR,,9SR37900,024
a550995-4464489-072424-024_F04.ARR,,9SR37900,024
a550995-4464489-072424-024_F05.ARR,,9SR37900,024
a550995-4464489-072424-024_F06.ARR,,9SR37900,024
a550995-4464489-072424-024_F07.ARR,,9SR37900,024
a550995-4464489-072424-024_F08.ARR,,9SR37900,024
a550995-4464489-072424-024_F09.ARR,,9SR37900,024
a550995-4464489-072424-024_F10.ARR,,9SR37900,024
a550995-4464489-072424-024_F11.ARR,,9SR37900,024
a550995-4464489-072424-024_F12.ARR,,9SR37900,024
a550995-4464489-072424-024_G01.ARR,,9SR37900,024
